ndays,MJm2
2926,21.654
2927,20.79576
2928,21.325608
2929,23.051736
2930,20.9916
2931,21.2274
2932,22.387896
2933,23.454216
2934,19.017
2935,19.807056
2936,23.313816
2937,13.66092
2938,18.98136
2939,21.33072
2940,23.47812
2941,20.369628
2942,22.59612
2943,24.210936
2944,22.31928
2945,21.18348
2946,24.486696
2947,20.87676
2948,17.5806
2949,21.892536
2950,21.32028
2951,22.86072
2952,21.58272
2953,19.4058
2954,22.302504
2955,18.08856
2956,20.753604
2957,20.2572
2958,22.5504
2959,15.59844
2960,16.99056
2961,18.886176
2962,19.64448
2963,20.89404
2964,23.20668
2965,22.88052
2966,24.40836
2967,21.43512
2968,21.17088
2969,22.37508
2970,22.181976
2971,19.4868
2972,21.75264
2973,19.27008
2974,13.932
2975,16.68204
2976,17.266032
2977,14.917608
2978,16.05096
2979,14.751
2980,15.05844
2981,13.776696
2982,25.26552
2983,20.4066
2984,22.7268
2985,21.60576
2986,20.64636
2987,22.00824
2988,24.16032
2989,26.612496
2990,21.92184
2991,19.175148
2992,19.651896
2993,21.607056
2994,21.775536
2995,22.146336
2996,19.419264
2997,36.744768
2998,29.035008
2999,22.572216
3000,18.43308
3001,22.77648
3002,21.47508
3003,20.179044
3004,22.75416
3005,17.70804
3006,24.992568
3007,23.42124
3008,22.392
3009,23.17428
3010,10.61766
3011,17.54928
3012,21.88152
3013,23.692932
3014,23.566932
3015,16.042932
3016,18.454932
3017,23.728932
3018,23.404932
3019,21.460932
3020,21.712932
3021,19.570932
3022,11.554776
3023,14.682348
3024,23.386932
3025,23.026932
3026,21.586932
3027,20.26167826
3028,19.390932
3029,22.419864
3030,22.594932
3031,22.000932
3032,18.796932
3033,21.784932
3034,23.229864
3035,23.211864
3036,23.013864
3037,16.101864
3038,22.126932
3039,21.100932
3040,17.80866
3041,19.120932
3042,16.078932
3043,8.950932
3044,18.886932
3045,19.084932
3046,9.688932
3047,16.186932
3048,7.066368
3049,10.206252
3050,21.32532
3051,14.611824
3052,7.084116
3053,12.249864
3054,6.909552
3055,9.32598
3056,10.874232
3057,19.21266
3058,21.902796
3059,25.774524
3060,12.837708
3061,9.850932
3062,12.694932
3063,19.683864
3064,14.225184
3065,14.998932
3066,15.29410597
3067,15.1632
3068,6.228
3069,9.49212
3070,7.094916
3071,19.968084
3072,20.0844
3073,15.8652
3074,15.3612
3075,8.259192
3076,24.27678
3077,21.747852
3078,14.402628
3079,12.844188
3080,18.05598
3081,19.986264
3082,8.0352
3083,6.282252
3084,7.38252
3085,11.660076
3086,17.494128
3087,15.608628
3088,17.424252
3089,8.694252
3090,7.147008
3091,14.81292
3092,10.491588
3093,8.26146
3094,16.453044
3095,20.629296
3096,11.3733
3097,9.911448
3098,12.827448
3099,16.297164
3100,22.718736
3101,15.66144
3102,14.380128
3103,11.638908
