Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,1/20/2011,30-40,9,31.9,46.8
LUTZ *,1/20/2011,30-40,10,28.8,40.4
LUTZ *,2/3/2011,0-10,1,36.7,57.9
LUTZ *,2/3/2011,0-10,2,37.1,59
LUTZ *,2/3/2011,0-10,3,41.2,70
LUTZ *,2/3/2011,0-10,4,40.5,68.1
LUTZ *,2/3/2011,0-10,5,41,69.4
LUTZ *,2/3/2011,0-10,6,39.7,65.7
LUTZ *,2/3/2011,0-10,7,35.3,54.5
LUTZ *,2/3/2011,0-10,8,44.9,81.4
LUTZ *,2/3/2011,0-10,9,31.9,46.8
LUTZ *,2/3/2011,0-10,10,32.6,48.4
LUTZ *,2/3/2011,30-40,1,35.2,54.4
LUTZ *,2/3/2011,30-40,2,36.5,57.5
LUTZ *,2/3/2011,30-40,3,36,56.2
LUTZ *,2/3/2011,30-40,4,36.3,56.9
LUTZ *,2/3/2011,30-40,5,39.6,65.4
LUTZ *,2/3/2011,30-40,6,42.2,73
LUTZ *,2/3/2011,30-40,7,34.4,52.3
LUTZ *,2/3/2011,30-40,8,24.1,31.8
LUTZ *,2/3/2011,30-40,9,28.1,39.1
LUTZ *,2/3/2011,30-40,10,28.3,39.4
LUTZ *,2/11/2011,0-10,1,36.8,58.2
LUTZ *,2/11/2011,0-10,2,33.1,49.5
LUTZ *,2/11/2011,0-10,3,34,51.4
LUTZ *,2/11/2011,0-10,4,38.3,61.9
LUTZ *,2/11/2011,0-10,5,39.7,65.8
LUTZ *,2/11/2011,0-10,6,34.7,53.2
LUTZ *,2/11/2011,0-10,7,33.2,49.6
LUTZ *,2/11/2011,0-10,8,42.1,72.8
LUTZ *,2/11/2011,0-10,9,28.7,40.2
LUTZ *,2/11/2011,0-10,10,28.5,39.9
LUTZ *,2/11/2011,30-40,1,33.4,50.3
LUTZ *,2/11/2011,30-40,2,32.7,48.6
LUTZ *,2/11/2011,30-40,3,31.4,45.9
LUTZ *,2/11/2011,30-40,4,35.1,54.1
LUTZ *,2/11/2011,30-40,5,37.3,59.5
LUTZ *,2/11/2011,30-40,6,39.4,64.9
LUTZ *,2/11/2011,30-40,7,32.9,49.1
LUTZ *,2/11/2011,30-40,8,25.3,33.8
LUTZ *,2/11/2011,30-40,9,30.5,43.8
LUTZ *,2/11/2011,30-40,10,26.9,36.8
LUTZ *,2/18/2011,0-10,1,39,63.9
LUTZ *,2/18/2011,0-10,2,34.9,53.6
LUTZ *,2/18/2011,0-10,3,43.1,75.7
LUTZ *,2/18/2011,0-10,4,37.8,60.7
LUTZ *,2/18/2011,0-10,5,37.8,60.8
LUTZ *,2/18/2011,0-10,6,41.8,71.8
LUTZ *,2/18/2011,0-10,7,39.6,65.5
LUTZ *,2/18/2011,0-10,8,44.9,81.3
LUTZ *,2/18/2011,0-10,9,34.2,52
LUTZ *,2/18/2011,0-10,10,34.1,51.6
LUTZ *,2/18/2011,30-40,1,35,53.9
LUTZ *,2/18/2011,30-40,2,35.8,55.9
LUTZ *,2/18/2011,30-40,3,34,51.6
LUTZ *,2/18/2011,30-40,4,36.9,58.5
LUTZ *,2/18/2011,30-40,5,39,63.9
LUTZ *,2/18/2011,30-40,6,38.9,63.7
LUTZ *,2/18/2011,30-40,7,32.9,49.1
LUTZ *,2/18/2011,30-40,8,22.9,29.7
LUTZ *,2/18/2011,30-40,9,30.4,43.6
LUTZ *,2/18/2011,30-40,10,27.8,38.5
LUTZ *,2/24/2011,0-10,1,36.7,57.9
LUTZ *,2/24/2011,0-10,2,28.9,40.7
LUTZ *,2/24/2011,0-10,3,34.1,51.6
LUTZ *,2/24/2011,0-10,4,37.1,58.9
LUTZ *,2/24/2011,0-10,5,36.2,56.8
LUTZ *,2/24/2011,0-10,6,36.6,57.6
LUTZ *,2/24/2011,0-10,7,40.6,68.3
LUTZ *,2/24/2011,0-10,8,33.2,49.8
LUTZ *,2/24/2011,0-10,9,35.2,54.3
LUTZ *,2/24/2011,0-10,10,31,45
LUTZ *,2/24/2011,30-40,1,35.9,55.9
LUTZ *,2/24/2011,30-40,2,29,40.8
LUTZ *,2/24/2011,30-40,3,31.5,46
LUTZ *,2/24/2011,30-40,4,34.5,52.7
LUTZ *,2/24/2011,30-40,5,31.5,46
LUTZ *,2/24/2011,30-40,6,37.4,59.7
LUTZ *,2/24/2011,30-40,7,39.3,64.6
LUTZ *,2/24/2011,30-40,8,32.1,47.3
LUTZ *,2/24/2011,30-40,9,24.5,32.5
LUTZ *,2/24/2011,30-40,10,31,45
LUTZ *,3/4/2011,0-10,1,36.3,57.1
LUTZ *,3/4/2011,0-10,2,27.6,38.2
LUTZ *,3/4/2011,0-10,3,32,47.1
LUTZ *,3/4/2011,0-10,4,37.9,61.1
LUTZ *,3/4/2011,0-10,5,35.5,55
LUTZ *,3/4/2011,0-10,6,36,56.3
LUTZ *,3/4/2011,0-10,7,39.1,64.3
LUTZ *,3/4/2011,0-10,8,32.2,47.5
LUTZ *,3/4/2011,0-10,9,25.5,34.2
LUTZ *,3/4/2011,0-10,10,28.9,40.7
LUTZ *,3/4/2011,30-40,1,37,58.7
LUTZ *,3/4/2011,30-40,2,27.4,37.8
LUTZ *,3/4/2011,30-40,3,32.4,47.8
LUTZ *,3/4/2011,30-40,4,36.9,58.4
LUTZ *,3/4/2011,30-40,5,34.7,53.1
LUTZ *,3/4/2011,30-40,6,36.3,56.9
LUTZ *,3/4/2011,30-40,7,38.2,61.8
LUTZ *,3/4/2011,30-40,8,30.1,43
LUTZ *,3/4/2011,30-40,9,22.7,29.3
LUTZ *,3/4/2011,30-40,10,30.4,43.7
LUTZ *,3/11/2011,0-10,1,35,53.7
LUTZ *,3/11/2011,0-10,2,26.8,36.7
LUTZ *,3/11/2011,0-10,3,29.3,41.4
LUTZ *,3/11/2011,0-10,4,34.1,51.7
LUTZ *,3/11/2011,0-10,5,34,51.6
LUTZ *,3/11/2011,0-10,6,31,45
LUTZ *,3/11/2011,0-10,7,36,56.2
LUTZ *,3/11/2011,0-10,8,32.6,48.3
LUTZ *,3/11/2011,0-10,9,30.6,44
LUTZ *,3/11/2011,0-10,10,29,40.9
LUTZ *,3/11/2011,30-40,1,36.5,57.5
LUTZ *,3/11/2011,30-40,2,26.4,35.9
LUTZ *,3/11/2011,30-40,3,30.7,44.2
LUTZ *,3/11/2011,30-40,4,35.6,55.2
LUTZ *,3/11/2011,30-40,5,31.8,46.5
LUTZ *,3/11/2011,30-40,6,33.8,51
LUTZ *,3/11/2011,30-40,7,37.6,60.2
LUTZ *,3/11/2011,30-40,8,29.6,42.1
LUTZ *,3/11/2011,30-40,9,19.3,23.9
LUTZ *,3/11/2011,30-40,10,30.1,43
LUTZ *,3/17/2011,0-10,1,33.5,50.4
LUTZ *,3/17/2011,0-10,2,26.1,35.2
LUTZ *,3/17/2011,0-10,3,30.6,44.1
LUTZ *,3/17/2011,0-10,4,33.3,49.9
LUTZ *,3/17/2011,0-10,5,29.9,42.7
LUTZ *,3/17/2011,0-10,6,34.5,52.6
LUTZ *,3/17/2011,0-10,7,36.9,58.6
LUTZ *,3/17/2011,0-10,8,30.8,44.4
LUTZ *,3/17/2011,0-10,9,24.5,32.5
LUTZ *,3/17/2011,0-10,10,28.8,40.5
LUTZ *,3/17/2011,30-40,1,33.5,50.3
LUTZ *,3/17/2011,30-40,2,26.3,35.7
LUTZ *,3/17/2011,30-40,3,29.7,42.2
LUTZ *,3/17/2011,30-40,4,35.3,54.4
LUTZ *,3/17/2011,30-40,5,29.9,42.7
LUTZ *,3/17/2011,30-40,6,34.5,52.6
LUTZ *,3/17/2011,30-40,7,37.5,59.9
LUTZ *,3/17/2011,30-40,8,29.5,41.9
LUTZ *,3/17/2011,30-40,9,24.1,31.7
LUTZ *,3/17/2011,30-40,10,29.4,41.6
LUTZ *,3/24/2011,0-10,1,38.2,61.7
LUTZ *,3/24/2011,0-10,2,25.2,33.7
LUTZ *,3/24/2011,0-10,3,31.2,45.4
LUTZ *,3/24/2011,0-10,4,36.9,58.4
LUTZ *,3/24/2011,0-10,5,34.7,53.1
LUTZ *,3/24/2011,0-10,6,37.4,59.8
LUTZ *,3/24/2011,0-10,7,28.8,40.4
LUTZ *,3/24/2011,0-10,8,32.2,47.6
LUTZ *,3/24/2011,0-10,9,32.2,47.5
LUTZ *,3/24/2011,0-10,10,27.9,38.7
LUTZ *,3/24/2011,30-40,1,35.9,56
LUTZ *,3/24/2011,30-40,2,25.3,33.9
LUTZ *,3/24/2011,30-40,3,28.9,40.7
LUTZ *,3/24/2011,30-40,4,34.7,53
LUTZ *,3/24/2011,30-40,5,29.2,41.3
LUTZ *,3/24/2011,30-40,6,31.9,46.9
LUTZ *,3/24/2011,30-40,7,39.4,65
LUTZ *,3/24/2011,30-40,8,32.7,48.5
LUTZ *,3/24/2011,30-40,9,20.1,25.1
LUTZ *,3/24/2011,30-40,10,28.8,40.4
LUTZ *,3/31/2011,0-10,1,38.2,61.7
LUTZ *,3/31/2011,0-10,2,25.2,33.7
LUTZ *,3/31/2011,0-10,3,31.2,45.4
LUTZ *,3/31/2011,0-10,4,36.9,58.4
LUTZ *,3/31/2011,0-10,5,34.7,53.1
LUTZ *,3/31/2011,0-10,6,37.4,59.8
LUTZ *,3/31/2011,0-10,7,28.8,40.4
LUTZ *,3/31/2011,0-10,8,32.2,47.6
LUTZ *,3/31/2011,0-10,9,32.2,47.5
LUTZ *,3/31/2011,0-10,10,27.9,38.7
LUTZ *,3/31/2011,30-40,1,35.9,56
LUTZ *,3/31/2011,30-40,2,25.3,33.9
LUTZ *,3/31/2011,30-40,3,28.9,40.7
LUTZ *,3/31/2011,30-40,4,34.7,53
LUTZ *,3/31/2011,30-40,5,29.2,41.3
LUTZ *,3/31/2011,30-40,6,31.9,46.9
LUTZ *,3/31/2011,30-40,7,39.4,65
LUTZ *,3/31/2011,30-40,8,32.7,48.5
LUTZ *,3/31/2011,30-40,9,20.1,25.1
LUTZ *,3/31/2011,30-40,10,28.8,40.4
LUTZ *,4/7/2011,0-10,1,38,61.2
LUTZ *,4/7/2011,0-10,2,27.3,37.6
LUTZ *,4/7/2011,0-10,3,32.1,47.3
LUTZ *,4/7/2011,0-10,4,36.1,56.4
LUTZ *,4/7/2011,0-10,5,34.3,52.2
LUTZ *,4/7/2011,0-10,6,36.2,56.8
LUTZ *,4/7/2011,0-10,7,37.9,61.2
LUTZ *,4/7/2011,0-10,8,31.8,46.5
LUTZ *,4/7/2011,0-10,9,35.6,55.3
LUTZ *,4/7/2011,0-10,10,28.5,39.9
LUTZ *,4/7/2011,30-40,1,35.9,56.1
LUTZ *,4/7/2011,30-40,2,27.4,37.7
LUTZ *,4/7/2011,30-40,3,30.8,44.4
LUTZ *,4/7/2011,30-40,4,34.4,52.3
LUTZ *,4/7/2011,30-40,5,28.2,39.3
LUTZ *,4/7/2011,30-40,6,35.3,54.6
LUTZ *,4/7/2011,30-40,7,37.5,59.9
LUTZ *,4/7/2011,30-40,8,30.4,43.7
LUTZ *,4/7/2011,30-40,9,19.4,24.1
LUTZ *,4/7/2011,30-40,10,29.3,41.5
LUTZ *,4/14/2011,0-10,1,37,58.7
LUTZ *,4/14/2011,0-10,2,27.1,37.2
LUTZ *,4/14/2011,0-10,3,35.1,54.1
LUTZ *,4/14/2011,0-10,4,37.4,59.9
LUTZ *,4/14/2011,0-10,5,38.4,62.5
LUTZ *,4/14/2011,0-10,6,39.7,65.8
LUTZ *,4/14/2011,0-10,7,38.6,62.8
LUTZ *,4/14/2011,0-10,8,32.3,47.7
LUTZ *,4/14/2011,0-10,9,32.5,48.2
LUTZ *,4/14/2011,0-10,10,28.6,40.1
LUTZ *,4/14/2011,30-40,1,33.5,50.3
LUTZ *,4/14/2011,30-40,2,26.8,36.5
LUTZ *,4/14/2011,30-40,3,29.4,41.7
LUTZ *,4/14/2011,30-40,4,33.7,50.8
LUTZ *,4/14/2011,30-40,5,34.5,52.7
LUTZ *,4/14/2011,30-40,6,33.3,49.9
LUTZ *,4/14/2011,30-40,7,36.3,56.9
LUTZ *,4/14/2011,30-40,8,29.2,41.3
LUTZ *,4/14/2011,30-40,9,19,23.4
LUTZ *,4/14/2011,30-40,10,29.1,41
LUTZ *,4/28/2011,0-10,1,38.6,62.8
LUTZ *,4/28/2011,0-10,2,29.6,42
LUTZ *,4/28/2011,0-10,3,34.7,53.1
LUTZ *,4/28/2011,0-10,4,41.4,70.6
LUTZ *,4/28/2011,0-10,5,34.8,53.4
LUTZ *,4/28/2011,0-10,6,36.3,57.1
LUTZ *,4/28/2011,0-10,7,36.9,58.4
LUTZ *,4/28/2011,0-10,8,31.6,46.2
LUTZ *,4/28/2011,0-10,9,31.2,45.4
LUTZ *,4/28/2011,0-10,10,30.7,44.3
LUTZ *,4/28/2011,30-40,1,33.5,50.4
LUTZ *,4/28/2011,30-40,2,26.3,35.7
LUTZ *,4/28/2011,30-40,3,27.5,38
LUTZ *,4/28/2011,30-40,4,36,56.3
LUTZ *,4/28/2011,30-40,5,27.6,38.2
LUTZ *,4/28/2011,30-40,6,33.3,49.8
LUTZ *,4/28/2011,30-40,7,36.6,57.6
LUTZ *,4/28/2011,30-40,8,30.1,43.1
LUTZ *,4/28/2011,30-40,9,19.6,24.4
LUTZ *,4/28/2011,30-40,10,31,45
LUTZ *,5/12/2011,0-10,1,36.9,58.6
LUTZ *,5/12/2011,0-10,2,34.6,53
LUTZ *,5/12/2011,0-10,3,39.5,65.4
LUTZ *,5/12/2011,0-10,4,42.5,74
LUTZ *,5/12/2011,0-10,5,39.3,64.8
LUTZ *,5/12/2011,0-10,6,40.6,68.3
LUTZ *,5/12/2011,0-10,7,40.5,68.1
LUTZ *,5/12/2011,0-10,8,40.3,67.6
LUTZ *,5/12/2011,0-10,9,38.6,62.8
LUTZ *,5/12/2011,0-10,10,35,53.8
LUTZ *,5/12/2011,30-40,1,35.8,55.8
LUTZ *,5/12/2011,30-40,2,32,47.1
LUTZ *,5/12/2011,30-40,3,35,53.8
LUTZ *,5/12/2011,30-40,4,40.6,68.4
LUTZ *,5/12/2011,30-40,5,39.2,64.5
LUTZ *,5/12/2011,30-40,6,41.2,70.1
LUTZ *,5/12/2011,30-40,7,43.6,77.4
LUTZ *,5/12/2011,30-40,8,35.2,54.3
LUTZ *,5/12/2011,30-40,9,23.9,31.4
LUTZ *,5/12/2011,30-40,10,32.3,47.6
LUTZ *,5/26/2011,0-10,1,38.6,63
LUTZ *,5/26/2011,0-10,2,29.4,41.6
LUTZ *,5/26/2011,0-10,3,35.3,54.5
LUTZ *,5/26/2011,0-10,4,39.7,66
LUTZ *,5/26/2011,0-10,5,36,56.2
LUTZ *,5/26/2011,0-10,6,38.3,62.2
LUTZ *,5/26/2011,0-10,7,39,64.1
LUTZ *,5/26/2011,0-10,8,34.1,51.7
LUTZ *,5/26/2011,0-10,9,42.4,73.8
LUTZ *,5/26/2011,0-10,10,29.6,42
LUTZ *,5/26/2011,30-40,1,35.7,55.6
LUTZ *,5/26/2011,30-40,2,29.6,42
LUTZ *,5/26/2011,30-40,3,34.2,52.1
LUTZ *,5/26/2011,30-40,4,39.1,64.1
LUTZ *,5/26/2011,30-40,5,33.4,50.1
LUTZ *,5/26/2011,30-40,6,38.5,62.6
LUTZ *,5/26/2011,30-40,7,42.1,72.6
LUTZ *,5/26/2011,30-40,8,32.7,48.6
LUTZ *,5/26/2011,30-40,9,30.8,44.5
LUTZ *,5/26/2011,30-40,10,32.1,47.4
LUTZ *,6/9/2011,0-10,1,42.3,73.4
LUTZ *,6/9/2011,0-10,2,39.7,65.9
LUTZ *,6/9/2011,0-10,3,43.3,76.2
LUTZ *,6/9/2011,0-10,4,39.6,65.6
LUTZ *,6/9/2011,0-10,5,44.6,80.5
LUTZ *,6/9/2011,0-10,6,45.2,82.3
LUTZ *,6/9/2011,0-10,7,39,64
LUTZ *,6/9/2011,0-10,8,47.6,90.8
LUTZ *,6/9/2011,0-10,9,36.4,57.2
LUTZ *,6/9/2011,0-10,10,35.4,54.8
LUTZ *,6/9/2011,30-40,1,37.9,61
LUTZ *,6/9/2011,30-40,2,34.4,52.5
LUTZ *,6/9/2011,30-40,3,39.1,64.1
LUTZ *,6/9/2011,30-40,4,39.8,66
LUTZ *,6/9/2011,30-40,5,41.3,70.4
LUTZ *,6/9/2011,30-40,6,45.1,82.2
LUTZ *,6/9/2011,30-40,7,36.5,57.4
LUTZ *,6/9/2011,30-40,8,28.3,39.4
LUTZ *,6/9/2011,30-40,9,34,51.5
LUTZ *,6/9/2011,30-40,10,30,42.9
LUTZ *,6/23/2011,0-10,1,39.9,66.4
LUTZ *,6/23/2011,0-10,2,40.9,69.1
LUTZ *,6/23/2011,0-10,3,45.7,84.2
LUTZ *,6/23/2011,0-10,4,41.6,71.2
LUTZ *,6/23/2011,0-10,5,42.2,72.9
LUTZ *,6/23/2011,0-10,6,46.8,88
LUTZ *,6/23/2011,0-10,7,44.2,79.3
LUTZ *,6/23/2011,0-10,8,48.7,94.8
LUTZ *,6/23/2011,0-10,9,36.8,58.3
LUTZ *,6/23/2011,0-10,10,36.2,56.8
LUTZ *,6/23/2011,30-40,1,38.5,62.5
LUTZ *,6/23/2011,30-40,2,36.6,57.8
LUTZ *,6/23/2011,30-40,3,42,72.5
LUTZ *,6/23/2011,30-40,4,33.6,50.5
LUTZ *,6/23/2011,30-40,5,40.4,67.6
LUTZ *,6/23/2011,30-40,6,44.4,80
LUTZ *,6/23/2011,30-40,7,35.9,56
LUTZ *,6/23/2011,30-40,8,24.1,31.8
LUTZ *,6/23/2011,30-40,9,33.4,50.1
LUTZ *,6/23/2011,30-40,10,32,47
LUTZ *,7/7/2011,0-10,1,41.8,71.7
LUTZ *,7/7/2011,0-10,2,39.4,65.1
LUTZ *,7/7/2011,0-10,3,43.2,76.1
LUTZ *,7/7/2011,0-10,4,41,69.4
LUTZ *,7/7/2011,0-10,5,44.1,78.8
LUTZ *,7/7/2011,0-10,6,48.8,95.3
LUTZ *,7/7/2011,0-10,7,41.5,70.9
LUTZ *,7/7/2011,0-10,8,46.7,87.5
LUTZ *,7/7/2011,0-10,9,36.3,57
LUTZ *,7/7/2011,0-10,10,36.7,57.9
LUTZ *,7/7/2011,30-40,1,38.7,63.2
LUTZ *,7/7/2011,30-40,2,34,51.6
LUTZ *,7/7/2011,30-40,3,42.5,74
LUTZ *,7/7/2011,30-40,4,33.5,50.3
LUTZ *,7/7/2011,30-40,5,40.1,66.9
LUTZ *,7/7/2011,30-40,6,43.9,78.1
LUTZ *,7/7/2011,30-40,7,36.8,58.2
LUTZ *,7/7/2011,30-40,8,23.6,30.9
LUTZ *,7/7/2011,30-40,9,33.8,51
LUTZ *,7/7/2011,30-40,10,31.1,45.2
LUTZ *,7/21/2011,0-10,1,39.5,65.4
LUTZ *,7/21/2011,0-10,2,37,58.8
LUTZ *,7/21/2011,0-10,3,43.6,77.2
LUTZ *,7/21/2011,0-10,4,40.7,68.5
LUTZ *,7/21/2011,0-10,5,37.6,60.2
LUTZ *,7/21/2011,0-10,6,46.4,86.5
LUTZ *,7/21/2011,0-10,7,40,66.7
LUTZ *,7/21/2011,0-10,8,44.2,79.2
LUTZ *,7/21/2011,0-10,9,36.2,56.8
LUTZ *,7/21/2011,0-10,10,36.4,57.2
LUTZ *,7/21/2011,30-40,1,38.4,62.5
LUTZ *,7/21/2011,30-40,2,35.9,55.9
LUTZ *,7/21/2011,30-40,3,40.5,68.1
LUTZ *,7/21/2011,30-40,4,34.2,52
LUTZ *,7/21/2011,30-40,5,37.6,60.3
LUTZ *,7/21/2011,30-40,6,43.4,76.7
LUTZ *,7/21/2011,30-40,7,34.1,51.7
LUTZ *,7/21/2011,30-40,8,26.5,36.1
LUTZ *,7/21/2011,30-40,9,30.6,44.1
LUTZ *,7/21/2011,30-40,10,30.7,44.2
LUTZ *,8/5/2011,0-10,1,46.3,86.2
LUTZ *,8/5/2011,0-10,2,43.1,75.9
LUTZ *,8/5/2011,0-10,3,49,96.1
LUTZ *,8/5/2011,0-10,4,39.4,65.1
LUTZ *,8/5/2011,0-10,5,43.3,76.4
LUTZ *,8/5/2011,0-10,6,46.1,85.6
LUTZ *,8/5/2011,0-10,7,44.3,79.7
LUTZ *,8/5/2011,0-10,8,47.9,91.9
LUTZ *,8/5/2011,0-10,9,38.2,61.7
LUTZ *,8/5/2011,0-10,10,39.2,64.4
LUTZ *,8/5/2011,30-40,1,39.9,66.3
LUTZ *,8/5/2011,30-40,2,37.6,60.2
LUTZ *,8/5/2011,30-40,3,41.2,70.2
LUTZ *,8/5/2011,30-40,4,40,66.5
LUTZ *,8/5/2011,30-40,5,41.8,71.9
LUTZ *,8/5/2011,30-40,6,44.4,79.9
LUTZ *,8/5/2011,30-40,7,35.3,54.5
LUTZ *,8/5/2011,30-40,8,26,35.1
LUTZ *,8/5/2011,30-40,9,33.6,50.6
LUTZ *,8/5/2011,30-40,10,31.2,45.4
LUTZ *,8/18/2011,0-10,1,39.4,65
LUTZ *,8/18/2011,0-10,2,43.9,78.3
LUTZ *,8/18/2011,0-10,3,45.8,84.5
LUTZ *,8/18/2011,0-10,4,39.6,65.5
LUTZ *,8/18/2011,0-10,5,45.4,83.2
LUTZ *,8/18/2011,0-10,6,45.3,82.9
LUTZ *,8/18/2011,0-10,7,46.5,87.1
LUTZ *,8/18/2011,0-10,8,48,92.4
LUTZ *,8/18/2011,0-10,9,37.8,60.7
LUTZ *,8/18/2011,0-10,10,37.7,60.6
LUTZ *,8/18/2011,30-40,1,37.7,60.4
LUTZ *,8/18/2011,30-40,2,37.3,59.4
LUTZ *,8/18/2011,30-40,3,35.8,55.7
LUTZ *,8/18/2011,30-40,4,40.2,67.3
LUTZ *,8/18/2011,30-40,5,39,64
LUTZ *,8/18/2011,30-40,6,45.4,83.2
LUTZ *,8/18/2011,30-40,7,34.6,53
LUTZ *,8/18/2011,30-40,8,26.1,35.4
LUTZ *,8/18/2011,30-40,9,35.1,54.1
LUTZ *,8/18/2011,30-40,10,33,49.3
LUTZ *,9/1/2011,0-10,1,42.5,73.8
LUTZ *,9/1/2011,0-10,2,45,81.8
LUTZ *,9/1/2011,0-10,3,45,81.7
LUTZ *,9/1/2011,0-10,4,42.4,73.7
LUTZ *,9/1/2011,0-10,5,45.4,83.1
LUTZ *,9/1/2011,0-10,6,46.8,88
LUTZ *,9/1/2011,0-10,7,43.5,77
LUTZ *,9/1/2011,0-10,8,48.4,93.9
LUTZ *,9/1/2011,0-10,9,36.8,58.2
LUTZ *,9/1/2011,0-10,10,34.5,52.7
LUTZ *,9/1/2011,30-40,1,39.6,65.6
LUTZ *,9/1/2011,30-40,2,36.3,57
LUTZ *,9/1/2011,30-40,3,41.2,70.2
LUTZ *,9/1/2011,30-40,4,35.7,55.6
LUTZ *,9/1/2011,30-40,5,41.8,71.8
LUTZ *,9/1/2011,30-40,6,45,81.7
LUTZ *,9/1/2011,30-40,7,36.2,56.8
LUTZ *,9/1/2011,30-40,8,29.5,41.9
LUTZ *,9/1/2011,30-40,9,33.5,50.3
LUTZ *,9/1/2011,30-40,10,29.7,42.2
LUTZ *,9/15/2011,0-10,1,43.4,76.8
LUTZ *,9/15/2011,0-10,2,45.2,82.5
LUTZ *,9/15/2011,0-10,3,45,81.9
LUTZ *,9/15/2011,0-10,4,41.3,70.4
LUTZ *,9/15/2011,0-10,5,42.4,73.8
LUTZ *,9/15/2011,0-10,6,46,85.1
LUTZ *,9/15/2011,0-10,7,47.5,90.4
LUTZ *,9/15/2011,0-10,8,48.7,94.9
LUTZ *,9/15/2011,0-10,9,38.8,63.4
LUTZ *,9/15/2011,0-10,10,38.9,63.7
LUTZ *,9/15/2011,30-40,1,37.8,60.9
LUTZ *,9/15/2011,30-40,2,38.8,63.5
LUTZ *,9/15/2011,30-40,3,42.5,73.8
LUTZ *,9/15/2011,30-40,4,38.1,61.5
LUTZ *,9/15/2011,30-40,5,40.9,69.1
LUTZ *,9/15/2011,30-40,6,46.3,86.3
LUTZ *,9/15/2011,30-40,7,37.7,60.5
LUTZ *,9/15/2011,30-40,8,22.4,28.8
LUTZ *,9/15/2011,30-40,9,35.5,54.9
LUTZ *,9/15/2011,30-40,10,30.9,44.7
LUTZ *,9/29/2011,0-10,1,37.6,60.3
LUTZ *,9/29/2011,0-10,2,38.5,62.5
LUTZ *,9/29/2011,0-10,3,47.8,91.8
LUTZ *,9/29/2011,0-10,4,45.7,84.3
LUTZ *,9/29/2011,0-10,5,48.4,93.8
LUTZ *,9/29/2011,0-10,6,46.5,87
LUTZ *,9/29/2011,0-10,7,39.8,66.2
LUTZ *,9/29/2011,0-10,8,46.2,85.8
LUTZ *,9/29/2011,0-10,9,37.7,60.6
LUTZ *,9/29/2011,0-10,10,35.9,56
LUTZ *,9/29/2011,30-40,1,38.7,63.1
LUTZ *,9/29/2011,30-40,2,36.6,57.6
LUTZ *,9/29/2011,30-40,3,37.7,60.4
LUTZ *,9/29/2011,30-40,4,37.4,59.8
LUTZ *,9/29/2011,30-40,5,41.6,71.4
LUTZ *,9/29/2011,30-40,6,44.9,81.5
LUTZ *,9/29/2011,30-40,7,35.9,55.9
LUTZ *,9/29/2011,30-40,8,26.7,36.4
LUTZ *,9/29/2011,30-40,9,35.6,55.3
LUTZ *,9/29/2011,30-40,10,31.2,45.4
LUTZ *,10/13/2011,0-10,1,41.1,69.6
LUTZ *,10/13/2011,0-10,2,41.9,72.1
LUTZ *,10/13/2011,0-10,3,42.7,74.4
LUTZ *,10/13/2011,0-10,4,41.7,71.6
LUTZ *,10/13/2011,0-10,5,45.1,82.1
LUTZ *,10/13/2011,0-10,6,46.2,85.8
LUTZ *,10/13/2011,0-10,7,48.5,94.2
LUTZ *,10/13/2011,0-10,8,50,100
LUTZ *,10/13/2011,0-10,9,39.3,64.9
LUTZ *,10/13/2011,0-10,10,38.4,62.2
LUTZ *,10/13/2011,30-40,1,39.3,64.8
LUTZ *,10/13/2011,30-40,2,39.6,65.7
LUTZ *,10/13/2011,30-40,3,40.6,68.4
LUTZ *,10/13/2011,30-40,4,36,56.2
LUTZ *,10/13/2011,30-40,5,43.9,78.3
LUTZ *,10/13/2011,30-40,6,45.2,82.5
LUTZ *,10/13/2011,30-40,7,37.1,59
LUTZ *,10/13/2011,30-40,8,31,45
LUTZ *,10/13/2011,30-40,9,36.6,57.6
LUTZ *,10/13/2011,30-40,10,31.7,46.5
LUTZ *,10/27/2011,0-10,1,37.9,61.1
LUTZ *,10/27/2011,0-10,2,42.7,74.7
LUTZ *,10/27/2011,0-10,3,42,72.5
LUTZ *,10/27/2011,0-10,4,40.7,68.5
LUTZ *,10/27/2011,0-10,5,46.3,86.3
LUTZ *,10/27/2011,0-10,6,44.7,80.8
LUTZ *,10/27/2011,0-10,7,40.5,68.2
LUTZ *,10/27/2011,0-10,8,47.6,90.9
LUTZ *,10/27/2011,0-10,9,40.3,67.6
LUTZ *,10/27/2011,0-10,10,36.9,58.4
LUTZ *,10/27/2011,30-40,1,37.9,60.9
LUTZ *,10/27/2011,30-40,2,35,53.8
LUTZ *,10/27/2011,30-40,3,40,66.6
LUTZ *,10/27/2011,30-40,4,35.2,54.4
LUTZ *,10/27/2011,30-40,5,40.8,68.9
LUTZ *,10/27/2011,30-40,6,43.2,76.1
LUTZ *,10/27/2011,30-40,7,34.2,52
LUTZ *,10/27/2011,30-40,8,25.8,34.8
LUTZ *,10/27/2011,30-40,9,34.4,52.3
LUTZ *,10/27/2011,30-40,10,30.9,44.8
LUTZ *,11/9/2011,0-10,1,43.2,76.2
LUTZ *,11/9/2011,0-10,2,45.7,84.1
LUTZ *,11/9/2011,0-10,3,44.8,81
LUTZ *,11/9/2011,0-10,4,43.9,78.4
