Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,1/26/2012,30-40,1,35.7,55.6
LUTZ *,1/26/2012,30-40,2,34.4,52.4
LUTZ *,1/26/2012,30-40,3,34.5,52.8
LUTZ *,1/26/2012,30-40,4,36.6,57.7
LUTZ *,1/26/2012,30-40,5,36.7,57.9
LUTZ *,1/26/2012,30-40,6,38.7,63.2
LUTZ *,1/26/2012,30-40,7,32.8,48.9
LUTZ *,1/26/2012,30-40,8,22.9,29.8
LUTZ *,1/26/2012,30-40,9,28.3,39.5
LUTZ *,1/26/2012,30-40,10,27.7,38.2
LUTZ *,2/3/2012,0-10,1,33.2,49.7
LUTZ *,2/3/2012,0-10,2,32.4,47.8
LUTZ *,2/3/2012,0-10,3,36.6,57.7
LUTZ *,2/3/2012,0-10,4,31.6,46.2
LUTZ *,2/3/2012,0-10,5,36,56.1
LUTZ *,2/3/2012,0-10,6,37.9,61
LUTZ *,2/3/2012,0-10,7,31.9,46.8
LUTZ *,2/3/2012,0-10,8,33.9,51.4
LUTZ *,2/3/2012,0-10,9,28.4,39.6
LUTZ *,2/3/2012,0-10,10,27.3,37.5
LUTZ *,2/3/2012,30-40,1,35.1,54.1
LUTZ *,2/3/2012,30-40,2,29,40.9
LUTZ *,2/3/2012,30-40,3,34.8,53.4
LUTZ *,2/3/2012,30-40,4,28.3,39.4
LUTZ *,2/3/2012,30-40,5,36.2,56.7
LUTZ *,2/3/2012,30-40,6,39,64
LUTZ *,2/3/2012,30-40,7,32.1,47.2
LUTZ *,2/3/2012,30-40,8,18.7,23
LUTZ *,2/3/2012,30-40,9,27.6,38
LUTZ *,2/3/2012,30-40,10,28,39
LUTZ *,2/9/2012,0-10,1,31.1,45.2
LUTZ *,2/9/2012,0-10,2,32.3,47.8
LUTZ *,2/9/2012,0-10,3,35.5,55
LUTZ *,2/9/2012,0-10,4,30.4,43.6
LUTZ *,2/9/2012,0-10,5,35.9,56
